date,state,food,alcohol,clothing,household,health,transport,recreation,hotels,misc,goods,services,discretionary,non_discretionary,total
1/01/2019,AUS,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1/02/2019,AUS,103.5,99.2,93.7,96.9,118.4,107.8,101.3,96.9,115.6,100.3,108.3,101.4,107.2,104.4
1/03/2019,AUS,104.4,98.5,100.4,95.8,119.6,109.3,102.1,100.7,117.6,101.6,110,102.9,108.7,106
1/04/2019,AUS,103.9,105.8,109.9,88.5,109.2,111.8,104.4,108.4,110.5,102.4,110,104.5,108,106.3
1/05/2019,AUS,102.3,95,114.5,96.8,123.3,115.2,103.1,102.5,115.1,102.5,112.5,104.5,110.6,107.7
1/06/2019,AUS,100.6,98.2,119.5,115.4,119.1,111.1,108.4,104.9,117.7,106.8,112.1,111.1,108.1,109.6
1/07/2019,AUS,101.5,98.9,108.6,101.5,116.6,111.3,106.3,109.4,117.1,102.7,113,107.5,108.6,108.1
1/08/2019,AUS,105.1,102.3,110.5,104.4,122.6,114.3,106.5,108.1,118.1,105.4,114.8,108.4,112,110.3
1/09/2019,AUS,104.7,100.8,110.5,101.7,119.1,112,111.7,109.4,111.4,106.5,112.4,108.5,110.4,109.5
1/10/2019,AUS,109.8,95.3,117.4,108.5,118.9,112.7,112.2,110.6,116.8,110,113.2,110.7,112.6,111.7
1/11/2019,AUS,110.9,94.9,136.9,121.6,124,112.1,123.6,108.9,124.4,118.8,114.5,119.6,113.8,116.6
1/12/2019,AUS,115.4,136.1,181,138.6,114.6,110.9,139.4,115.5,134.5,141,113.7,141.2,113.9,126.9
1/01/2020,AUS,104.4,93.9,105.9,108.2,103.2,108,111.7,107.8,111.3,104.5,108.7,107.5,106,106.7
1/02/2020,AUS,104.5,93.8,94.3,100,118.8,107.4,104.6,97.7,121.2,101.8,109.2,103.5,107.5,105.6
1/03/2020,AUS,130.9,120.5,80.2,97.6,121,83.5,88.8,69.3,102.7,112.5,87.4,94.9,103.6,99.4
1/04/2020,AUS,109.1,103.2,53.1,87.7,68.2,48.6,81.6,34.9,61.2,95.4,50.6,75.1,69.4,72.1
1/05/2020,AUS,111.1,112.1,97,123.2,97.6,58.7,89.8,42.1,82.8,113.4,62.4,94.7,79.9,86.9
1/06/2020,AUS,110.2,113.3,109.6,136.2,116.1,67.2,91.4,60.8,96.7,117.8,75.1,103.5,88.5,95.6
1/07/2020,AUS,114.6,113.1,107.6,129.5,121.8,68.1,100.1,69.7,96.8,118,81.2,105,93.5,98.9
1/08/2020,AUS,115.9,110.5,92.8,116.1,115.9,64.1,99.1,67.3,92,112.5,78.8,98.8,91.5,95
1/09/2020,AUS,115.2,111,101.5,114,118,68.8,104.6,74.3,93.6,113.5,83.8,102,94.5,98.1
1/10/2020,AUS,115.7,103.9,108.9,117.4,121.2,73.1,108.9,75.9,97.1,115.5,86.8,104.4,97.1,100.6
1/11/2020,AUS,117.8,106.1,158.3,156.6,131.5,83.2,134.1,83.7,117.1,137.1,96.7,129.1,104.4,116.1
1/12/2020,AUS,127.2,151.6,187.6,159,120.7,87.6,138.6,95.7,128,153.7,99.1,144.1,108.4,125.3
1/01/2021,AUS,109.2,105.9,107.7,123.3,109.3,75.7,108.3,88.1,100,112.6,89.9,106.7,95.5,100.8
1/02/2021,AUS,110.4,107.8,98.6,113,126.5,82.5,107.7,85.9,111.8,110.7,97,106.2,101.2,103.6
1/03/2021,AUS,112.2,114.4,110.6,112.1,132.3,90.8,111.4,93.4,113.1,113.6,103.8,110.6,106.5,108.5
1/04/2021,AUS,109.2,111.9,122.7,104.5,121,92.1,114.9,98.3,106.3,112.2,103.1,110.9,104.4,107.5
1/05/2021,AUS,111,104.2,125,112.7,133.7,93.9,111.3,96.3,114.8,114.4,105.1,111.7,107.7,109.6
1/06/2021,AUS,111.5,108,118.5,136,127.6,89.8,110,94.6,115.2,118.7,101.2,115,104.7,109.6
1/07/2021,AUS,114.7,109.8,91.6,123.3,121.2,81.8,99.9,84.2,106.6,112.8,92.4,104.7,99.9,102.2
1/08/2021,AUS,118.9,113.1,79.4,111.5,120.4,74.9,97.8,74.7,107.3,111.4,87.5,100.4,97.7,99
1/09/2021,AUS,119.2,116.8,86.2,113.2,121.1,77.8,107.5,81.3,105.4,115.4,90.5,105.3,99.9,102.5
1/10/2021,AUS,119.2,105.8,112,127.3,126,84,120.2,89.6,112.9,123,96.8,114.4,104.8,109.3
1/11/2021,AUS,119,105.3,177.7,167.3,137.1,94.8,145.1,104.3,132.4,144.9,108.9,140.8,113.2,126.2
1/12/2021,AUS,130.3,144.5,204.2,156.8,123.8,93.9,148.1,113.1,132.1,158.1,106.7,150.1,114.5,131.4
1/01/2022,AUS,118.3,104.5,117,122.1,110.5,86.2,118.9,97.1,102.2,119.2,96.5,112.6,102.8,107.5
1/02/2022,AUS,116.9,110.6,117.6,124.2,131.5,104,123.5,101,123.6,121.8,111,119.5,113.2,116.2
1/03/2022,AUS,117.2,111.5,127.4,126.2,133.4,111.5,126.8,106.6,125.1,122.9,116.9,122.8,117,119.7
1/04/2022,AUS,119.6,116.3,144.1,120.4,123.1,107.2,131.3,119.4,121.1,125.7,116.7,126.4,116.1,121
1/05/2022,AUS,117.6,105.6,146.8,125.6,141.5,114.7,131.1,114.2,123.5,124.9,121.6,125.6,121.1,123.2
1/06/2022,AUS,117.1,106.9,150.9,139.4,137.6,120,137.6,119.8,126.3,128.8,125.2,131.9,122.4,126.9
1/07/2022,AUS,120.2,109.4,145.1,125.4,138.8,119.9,139.4,124,122.5,127.4,126.1,129.6,124.1,126.7
1/08/2022,AUS,121.7,113.3,139.6,125.4,144.5,118.2,139.6,123.1,127.9,128.4,127.1,130.3,125.4,127.7
1/01/2019,NSW,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1/02/2019,NSW,103,98.7,90.9,96.3,121.5,108.2,100.9,96.7,125,99.7,109.2,102.4,107,104.8
1/03/2019,NSW,103.6,97.6,98.6,94.5,123.8,110.1,101.4,99,126.1,100.8,110.8,103.5,108.6,106.2
1/04/2019,NSW,102.9,105.1,106.7,86.8,111.5,112.2,103.1,106.1,116,101.3,110.3,104.2,107.9,106.1
1/05/2019,NSW,101.2,94.1,114.3,95.1,125.3,115.7,101.9,99.5,121.8,101.9,112.1,104.8,109.6,107.3
1/06/2019,NSW,98.8,97.8,119.1,113.1,120.6,111.7,107.3,101.4,122.8,105.9,111.5,111,107.1,108.9
1/07/2019,NSW,99,99.1,104.2,98.4,118.3,112.6,105.2,105.3,129.4,100.5,114.3,108.3,107.5,107.9
1/08/2019,NSW,102.9,102.7,107.3,103.7,124.1,114.8,105.5,104.6,121.3,104.2,113.9,108,110.7,109.4
1/09/2019,NSW,102.7,99.2,109.2,100.8,121.8,112.5,111.1,105.3,114,105.8,111.4,108.1,109.4,108.8
1/10/2019,NSW,108,96.4,117.4,107.8,118.1,112.9,111,108.2,121.9,109.7,112.5,111.4,111,111.2
1/11/2019,NSW,109.6,94.5,137.1,120.2,126.4,112.4,121.6,105.8,132.7,118.5,114.4,120.4,112.6,116.3
1/12/2019,NSW,113.9,135.9,176.5,135.8,117.8,111.5,135.6,112.6,144.3,140.2,114.9,141.1,113.5,126.6
1/01/2020,NSW,102.5,95.8,105.7,108.1,103.8,108.9,112.9,106.5,114.6,103.8,110.1,108.8,105.7,107.2
