date,aus,nsw,vic,qld,sa,wa,tas,nt,act
1/01/2012,5.05,5.11,5.02,5.49,5.13,4.13,6.76,4.52,3.46
1/02/2012,5.20,5.10,5.52,5.72,5.39,3.74,7.10,4.78,3.39
1/03/2012,5.18,4.72,5.83,5.51,5.21,3.93,6.94,3.66,4.03
1/04/2012,4.99,5.01,5.30,5.22,5.36,3.73,7.67,4.06,3.00
1/05/2012,5.20,5.04,5.55,5.81,5.15,3.85,6.39,4.79,3.99
1/06/2012,5.16,5.19,5.53,5.14,6.31,3.56,7.15,4.26,4.15
1/07/2012,5.18,5.17,5.40,5.81,5.08,3.59,6.35,4.10,3.80
1/08/2012,5.16,4.65,5.60,5.91,5.65,3.99,6.84,4.19,3.44
1/09/2012,5.49,5.33,5.65,6.24,5.68,4.06,7.26,3.02,3.91
1/10/2012,5.41,5.15,5.48,6.04,5.67,4.66,6.79,5.52,4.17
1/11/2012,5.26,5.06,5.40,6.07,5.35,4.26,6.83,2.80,4.20
1/12/2012,5.43,5.09,5.66,6.21,5.88,4.27,7.35,4.51,4.22
1/01/2013,5.39,5.03,5.96,5.60,6.15,4.04,7.62,4.59,4.94
1/02/2013,5.40,5.24,5.62,5.77,5.89,4.45,6.80,4.85,4.36
1/03/2013,5.64,5.50,5.71,5.87,5.83,4.74,7.32,4.58,4.31
1/04/2013,5.59,5.41,5.91,5.50,5.98,5.30,7.24,5.41,4.98
1/05/2013,5.61,5.67,5.59,5.82,5.92,4.96,7.30,6.17,3.77
1/06/2013,5.70,5.41,5.92,6.27,5.90,4.71,8.79,5.81,4.00
1/07/2013,5.63,5.60,5.66,5.77,6.77,4.44,7.89,5.45,3.85
1/08/2013,5.84,5.89,5.81,5.81,6.91,5.02,8.21,5.58,3.76
1/09/2013,5.70,5.67,5.88,5.84,5.99,4.60,8.01,5.26,4.62
1/10/2013,5.82,5.92,6.15,5.87,6.78,4.15,7.74,4.88,4.26
1/11/2013,5.80,5.96,6.18,5.75,6.87,4.17,7.75,3.99,3.60
1/12/2013,5.90,5.82,6.26,6.12,6.89,4.42,7.67,4.17,3.75
1/01/2014,5.94,5.69,6.36,6.20,6.71,5.11,7.66,3.89,3.83
1/02/2014,5.89,5.56,6.35,6.05,6.49,5.54,7.32,3.56,2.98
1/03/2014,5.87,5.21,6.49,6.07,7.15,4.86,7.61,4.02,3.97
1/04/2014,5.80,5.36,6.46,6.17,6.32,4.97,7.37,3.58,3.99
1/05/2014,5.93,5.76,6.23,6.18,6.76,5.11,7.28,2.95,4.32
1/06/2014,6.05,5.73,6.61,6.23,7.14,5.10,7.28,5.07,3.65
1/07/2014,6.19,5.74,6.82,6.59,6.88,4.93,7.10,5.71,4.11
1/08/2014,6.10,5.71,6.80,6.57,5.92,4.97,7.02,3.86,5.14
1/09/2014,6.23,5.95,6.85,6.38,6.78,5.01,7.56,3.58,5.01
1/10/2014,6.36,5.87,6.98,7.14,6.81,5.11,6.62,3.10,5.94
1/11/2014,6.30,6.17,6.74,6.93,6.62,5.04,6.78,3.75,4.43
1/12/2014,6.11,5.90,6.44,6.30,6.65,5.69,6.60,3.63,4.28
1/01/2015,6.34,6.28,6.54,6.53,7.55,5.48,6.69,3.77,4.48
1/02/2015,6.15,6.18,5.91,6.56,6.70,5.73,6.52,4.40,4.70
1/03/2015,6.10,5.86,6.23,6.54,6.33,5.53,6.48,4.14,4.39
1/04/2015,6.11,5.85,6.17,6.47,7.06,5.83,7.30,4.23,4.47
1/05/2015,5.93,5.72,5.95,6.23,7.71,5.15,6.87,4.54,4.38
1/06/2015,6.01,5.75,6.03,5.90,8.29,6.02,6.42,4.74,4.08
1/07/2015,6.29,5.88,6.37,6.38,7.96,6.41,6.26,3.98,4.79
1/08/2015,6.09,5.87,5.94,6.25,7.80,6.01,6.17,4.68,5.31
1/09/2015,6.16,5.85,6.31,6.25,7.71,5.94,5.92,5.09,5.16
1/10/2015,5.91,5.49,5.69,6.18,7.73,6.25,6.61,3.56,5.17
1/11/2015,5.86,5.24,6.22,5.98,7.13,6.19,6.60,3.64,5.12
1/12/2015,5.74,5.08,5.97,5.87,7.02,6.11,6.80,3.68,5.01
1/01/2016,6.03,5.59,6.33,6.49,6.70,5.68,6.59,4.17,4.67
1/02/2016,5.69,5.21,5.81,5.52,7.36,6.03,6.88,4.97,4.69
1/03/2016,5.65,5.15,5.64,6.12,6.99,5.45,6.62,4.66,3.62
1/04/2016,5.64,5.22,5.55,6.38,6.47,5.62,6.24,3.85,4.13
1/05/2016,5.72,5.10,5.83,6.31,6.94,5.90,6.41,3.74,3.87
1/06/2016,5.69,5.14,5.68,6.25,7.31,5.88,6.56,3.58,3.55
1/07/2016,5.71,5.11,5.87,5.99,6.35,6.49,5.80,3.57,3.71
1/08/2016,5.62,4.96,5.53,6.09,6.86,6.26,7.11,3.57,3.51
1/09/2016,5.65,4.91,5.81,6.26,6.87,6.06,6.43,3.02,3.45
1/10/2016,5.57,4.86,5.83,5.77,6.59,6.39,6.42,3.25,3.74
1/11/2016,5.77,4.97,6.09,5.98,6.92,6.59,6.39,3.62,4.34
1/12/2016,5.83,5.22,6.05,6.15,6.61,6.57,6.39,3.21,3.54
1/01/2017,5.69,5.11,5.77,6.25,6.23,6.26,5.59,4.50,3.60
1/02/2017,5.85,5.21,5.94,6.76,6.45,6.10,5.79,2.87,4.03
1/03/2017,5.85,5.02,6.17,6.26,7.07,6.45,6.04,3.51,3.70
1/04/2017,5.61,4.64,6.12,6.18,7.05,5.79,5.80,3.66,3.62
1/05/2017,5.54,4.72,6.00,6.04,7.00,5.44,5.98,2.99,3.73
1/06/2017,5.60,4.74,5.92,6.39,6.69,5.62,5.52,3.19,5.48
1/07/2017,5.61,4.89,6.13,6.10,6.09,5.41,5.99,3.64,4.69
1/08/2017,5.53,4.94,6.10,5.61,5.63,5.78,5.94,4.04,3.99
1/09/2017,5.45,4.66,6.01,5.87,5.91,5.74,5.62,4.45,3.95
1/10/2017,5.35,4.50,5.74,5.80,5.88,6.00,6.21,3.84,3.47
1/11/2017,5.42,4.66,5.47,5.80,6.16,6.46,5.80,4.58,4.20
1/12/2017,5.61,4.84,6.11,6.00,5.92,5.80,6.22,5.52,4.10
1/01/2018,5.51,5.15,5.55,6.09,5.80,5.61,5.21,3.64,4.30
1/02/2018,5.56,4.85,5.61,6.38,6.18,6.16,6.06,4.12,3.92
1/03/2018,5.50,5.00,5.21,6.09,5.57,7.01,6.10,3.63,3.80
1/04/2018,5.53,4.96,5.21,6.54,5.82,6.40,5.90,4.53,3.60
1/05/2018,5.39,4.89,5.01,6.22,5.72,6.25,6.67,3.84,3.42
1/06/2018,5.32,4.63,5.57,5.87,5.45,6.05,5.73,4.43,3.62
1/07/2018,5.31,4.87,4.98,6.11,5.56,5.98,6.22,4.07,3.63
1/08/2018,5.28,4.68,4.75,6.30,5.66,6.32,5.76,4.20,3.75
1/09/2018,5.02,4.38,4.58,6.04,5.58,6.06,5.76,4.03,3.55
1/10/2018,4.98,4.40,4.50,6.06,5.50,5.68,5.33,5.11,3.71
1/11/2018,5.10,4.30,4.59,6.26,5.41,6.47,5.79,4.82,2.76
1/12/2018,5.01,4.35,4.15,6.05,5.93,6.47,6.18,4.83,3.91
1/01/2019,5.05,3.94,4.56,6.05,6.25,6.80,6.97,4.97,3.37
1/02/2019,4.96,4.32,4.75,5.60,5.63,6.01,6.70,4.91,3.12
1/03/2019,5.08,4.38,4.60,6.18,5.95,6.08,6.71,3.49,3.62
1/04/2019,5.21,4.57,4.86,5.95,6.17,6.04,6.84,4.44,4.87
1/05/2019,5.20,4.59,4.54,6.28,5.74,6.18,6.47,4.87,4.21
1/06/2019,5.26,4.59,4.82,6.54,5.99,5.57,6.70,4.63,2.66
1/07/2019,5.29,4.47,4.89,6.36,6.87,5.78,5.95,5.63,3.48
1/08/2019,5.27,4.31,4.93,6.30,7.39,5.69,6.23,5.37,3.69
1/09/2019,5.20,4.49,4.71,6.48,6.32,5.70,6.07,6.10,3.29
1/10/2019,5.27,4.79,4.77,6.26,6.25,5.71,5.75,5.67,2.99
1/11/2019,5.15,4.58,4.53,6.13,6.32,5.74,5.87,4.97,2.93
1/12/2019,5.05,4.50,4.84,5.60,6.19,5.47,5.55,5.10,2.95
1/01/2020,5.28,4.44,5.33,6.23,5.54,5.82,5.87,4.94,2.93
1/02/2020,5.08,4.60,5.28,5.65,5.64,5.23,5.11,5.83,2.77
1/03/2020,5.21,4.89,5.12,5.75,6.27,5.57,5.04,5.12,3.16
1/04/2020,6.33,6.36,5.97,7.08,7.13,6.11,6.19,5.68,4.15
1/05/2020,7.02,6.39,6.78,7.85,7.89,8.02,6.46,7.18,4.02
1/06/2020,7.44,6.82,7.52,7.88,8.68,8.37,6.83,5.70,4.73
1/07/2020,7.55,7.23,6.94,8.84,7.99,8.14,6.07,7.55,4.51
1/08/2020,6.84,6.52,7.06,7.16,7.79,6.78,5.97,4.35,4.18
1/09/2020,6.91,7.03,6.70,7.52,7.00,6.65,7.55,5.03,3.85
1/10/2020,6.94,6.49,7.29,7.50,7.03,6.64,7.87,5.69,3.92
1/11/2020,6.82,6.36,7.11,7.51,6.36,6.47,7.63,5.76,3.98
1/12/2020,6.58,6.32,6.41,7.35,6.26,6.37,7.10,5.24,3.73
1/01/2021,6.36,5.96,6.29,7.01,6.87,6.28,5.99,5.51,4.39
1/02/2021,5.80,5.59,5.67,6.21,6.61,6.08,5.81,5.07,4.16
1/03/2021,5.61,5.44,5.98,5.93,6.37,4.94,6.02,5.41,3.47
1/04/2021,5.43,5.46,5.42,5.93,5.75,5.01,6.25,3.81,3.50
1/05/2021,5.06,5.03,4.79,5.45,5.84,4.72,5.80,4.52,3.68
1/06/2021,4.98,5.07,4.56,5.20,5.33,5.00,4.64,4.86,4.82
1/07/2021,4.70,4.56,4.52,5.25,4.69,4.51,4.65,4.77,4.20
1/08/2021,4.57,4.69,4.01,5.22,4.91,4.40,5.00,3.41,3.58
1/09/2021,4.67,4.63,4.76,4.96,5.13,4.10,4.74,4.16,4.02
1/10/2021,5.23,5.45,5.59,5.14,5.33,3.94,5.04,3.89,6.54
1/11/2021,4.60,4.57,4.71,4.73,4.57,3.84,5.05,4.28,3.76
1/12/2021,4.17,4.00,4.23,4.61,3.89,3.43,3.97,4.02,4.42
1/01/2022,4.18,4.18,4.08,4.35,4.74,3.73,3.76,3.78,3.25
1/02/2022,4.00,3.71,4.12,4.26,4.86,4.07,3.92,3.56,2.94
1/03/2022,3.91,3.89,4.02,3.96,4.87,3.32,4.51,3.96,3.37
1/04/2022,3.86,3.56,4.21,4.40,4.50,2.92,3.94,4.07,3.19
1/05/2022,3.87,3.99,3.72,4.03,4.57,3.13,4.53,4.00,3.27
1/06/2022,3.54,3.31,3.25,3.96,4.33,3.36,4.30,3.81,3.14
1/07/2022,3.42,3.30,3.14,3.78,4.02,3.19,3.64,3.64,3.27
1/08/2022,3.48,3.40,3.69,3.27,3.98,3.13,4.65,4.45,2.77
1/09/2022,3.54,3.34,3.46,3.75,4.32,3.41,4.29,3.99,3.15
